,id
0,50088
1,60140
2,44884
3,11542
4,13359
5,11540
6,11541
7,11546
8,11547
9,11544
10,13358
11,11548
12,11549
13,5988
14,5989
15,19399
16,19398
17,19397
18,5983
19,5980
20,19394
21,5986
22,19392
23,5984
24,19390
25,57481
26,53901
27,28567
28,57482
29,57485
30,53905
31,36709
32,46139
33,11543
34,46137
35,46136
36,46135
37,46134
38,46133
39,46132
40,46131
41,46130
42,36707
43,53631
44,57488
45,34521
46,30926
47,11545
48,60834
49,19973
50,19972
51,19971
52,19970
53,19977
54,16708
55,19975
56,19974
57,16705
58,16704
59,16707
60,16706
61,16701
62,16700
63,16703
64,42087
65,12019
66,12018
67,42086
68,12015
69,12014
70,12017
71,12016
72,12011
73,12010
74,12013
75,12012
76,17258
77,17259
78,46707
79,17250
80,52461
81,17252
82,17253
83,17254
84,17255
85,17256
86,17257
87,53739
88,53738
89,16645
90,42081
91,9258
92,9259
93,53733
94,10702
95,10701
96,10700
97,10707
98,10706
99,10705
100,10704
101,46793
102,46792
103,46791
104,46790
105,49569
106,49568
107,46795
108,46794
109,49565
110,21614
111,46799
112,46798
113,49561
114,49560
115,49563
116,21612
117,1171
118,5982
119,45448
120,19396
121,45446
122,45447
123,45444
124,45445
125,45442
126,45443
127,45440
128,45441
129,44799
130,44798
131,5981
132,48620
133,44791
134,19393
135,44793
136,44792
137,44795
138,44794
139,44797
140,44796
141,46869
142,56572
143,58079
144,19391
145,46861
146,48625
147,58077
148,58076
149,46865
150,46864
151,46867
152,46866
153,29236
154,48627
155,41639
156,48626
157,22746
158,48629
159,20158
160,1613
161,34526
162,36421
163,13058
164,13059
165,41398
166,13052
167,13053
168,13050
169,13051
170,13056
171,13057
172,13054
173,13055
174,54170
175,54171
176,54172
177,54173
178,54174
179,54175
180,54176
181,54177
182,54178
183,54179
184,51824
185,20258
186,20259
187,56577
188,20252
189,20253
190,20250
191,20251
192,20256
193,20257
194,20254
195,20255
196,44427
197,40967
198,40964
199,44424
200,29769
201,40963
202,44421
203,44420
204,29765
205,29764
206,29767
207,29766
208,29761
209,29760
210,40968
211,29762
212,1177
213,1176
214,1175
215,1174
216,1173
217,1172
218,23509
219,23508
220,23507
221,23506
222,23505
223,23504
224,23503
225,23502
226,23501
227,23500
228,40328
229,27619
230,29926
231,27617
232,27616
233,27615
234,27614
235,27613
236,27612
237,27611
238,59038
239,59039
240,59032
241,59033
242,59030
243,44705
244,54307
245,59037
246,59034
247,59035
248,52973
249,52833
250,16881
251,54306
252,12833
253,12832
254,12831
255,12830
256,8549
257,8548
258,12835
259,12834
260,8545
261,8544
262,12839
263,8546
264,8541
265,8540
266,8543
267,8542
268,52832
269,16886
270,54305
271,50419
272,50418
273,53634
274,50412
275,50411
276,50410
277,50417
278,50416
279,50415
280,50414
281,55629
282,628
283,54304
284,55623
285,55622
286,55621
287,55620
288,55627
289,55626
290,55625
291,55624
292,52811
293,52810
294,52813
295,52812
296,52815
297,52814
298,22678
299,22679
300,22676
301,22677
302,22674
303,22675
304,22672
305,22673
306,22670
307,22671
308,60902
309,60903
310,60900
311,60901
312,60906
313,60907
314,60904
315,26569
316,26566
317,26567
318,60908
319,26565
320,26562
321,26563
322,26560
323,26561
324,8292
325,15551
326,15550
327,8297
328,8296
329,393
330,392
331,391
332,59732
333,397
334,47932
335,395
336,48916
337,41068
338,399
339,398
340,41069
341,54301
342,48913
343,48912
344,41064
345,32220
346,32221
347,32222
348,41065
349,54300
350,41067
351,3748
352,3749
353,3746
354,3747
355,3744
356,3745
357,3742
358,3743
359,3740
360,3741
361,41063
362,57661
363,57660
364,57663
365,57662
366,57665
367,57664
368,57667
369,57666
370,57669
371,57668
372,41395
373,52103
374,52102
375,52101
376,52100
377,52107
378,52106
379,52105
380,52104
381,52109
382,52108
383,60018
384,60019
385,60014
386,60015
387,60016
388,60017
389,60011
390,60012
391,60013
392,29659
393,29658
394,21930
395,21931
396,21932
397,21933
398,21934
399,21935
400,21936
401,21937
402,21938
403,21939
404,57085
405,57084
406,57087
407,57086
408,57081
409,57080
410,57083
411,57082
412,57089
413,57088
414,270
415,29652
416,42591
417,32012
418,272
419,29654
420,32010
421,51541
422,16709
423,60831
424,19976
425,6819
426,15709
427,32015
428,6811
429,15701
430,15702
431,15703
432,6815
433,15705
434,15706
435,15707
436,9757
437,9756
438,9755
439,9754
440,9753
441,9752
442,9751
443,9750
444,19979
445,9759
446,9758
447,24146
448,58930
449,24144
450,24145
451,24142
452,24143
453,24140
454,24141
455,37308
